,Cloud,Area,GLON,GLAT,theta,WCO,Vcent,Rmax,Rmin,Rang,Rgal,INF,Dnear,Dfar,Rnear,Rfar,Mnear,Mfar,_RA.icrs,_DE.icrs,phyD,Md2
3389,3390,1.14062,94.27865,-0.696221,-16.2909,160.297,-46.2423,0.69575,0.507417,0.563717,11.0416,0,6.44233,6.44233,63.3863,63.3863,138090.0,138090.0,323.457415,50.841277,5.698933772816252,3327.179987625186
4321,4322,1.46875,101.8162,-0.18153,-6.68815,157.026,-43.6185,0.727999,0.576635,0.623224,10.9234,0,5.33761,5.33761,58.0611,58.0611,92857.8,92857.8,332.78405,55.973694,4.587947655437968,3259.3028285954633
3668,3669,0.09375,91.80024,4.168237,-18.036,154.172,-4.37369,0.380037,0.274377,0.305849,8.81274,0,2.08065,2.08065,11.1068,11.1068,13853.4,13853.4,315.049683,52.461253,1.3476010971982149,3200.0614094681155
4821,4822,0.234375,94.17847,2.460441,-24.3333,151.14,-2.60275,0.716702,0.329505,0.426928,8.73863,0,1.50273,1.50273,11.1975,11.1975,7084.24,7084.24,319.7855,53.044862,0.7640484614727181,3137.1215970961034
4924,4925,0.90625,91.33766,0.006679,-24.1332,144.005,0.621881,0.622999,0.399635,0.463381,8.60555,0,1.15984,1.15984,9.38045,9.38045,4020.94,4020.94,319.403826,49.299329,0.4403112367013143,2989.0379417097142
4255,4256,1.25,99.32492,0.360636,12.0021,143.899,-62.9565,0.640372,0.499319,0.542495,12.3267,0,7.65589,7.65589,72.4907,72.4907,175066.0,175066.0,328.688624,54.921188,6.906419755809115,2986.82954867227
3771,3772,0.671875,92.11762,-0.330842,11.8467,143.203,2.2044,0.511316,0.393547,0.429432,8.54173,0,0.585797,0.585797,4.39063,4.39063,1020.0,1020.0,320.617921,49.614704,0.19549013030251589,2972.3906417158864
3700,3701,0.78125,98.84168,0.504812,-7.6689,142.459,-1.24708,0.465521,0.405165,0.42436,8.68271,0,0.894974,0.894974,6.62872,6.62872,2368.44,2368.44,327.87722,54.731917,0.1491077364265266,2956.9334461267695
4434,4435,1.32812,100.297,-0.068043,22.5355,141.643,-35.9376,0.859148,0.447244,0.555971,10.4259,0,4.70619,4.70619,45.6681,45.6681,65115.6,65115.6,330.489639,55.174527,3.956533794934374,2939.991895994395
4262,4263,0.796875,96.36629,-0.209088,-13.0059,137.466,-56.555,0.714411,0.228766,0.334383,11.785,0,7.27493,7.27493,42.4576,42.4576,151010.0,151010.0,325.448915,52.594491,6.528128850520868,2853.3041617611043
4594,4595,1.07812,94.61542,0.967965,35.7719,136.43,-11.5797,0.782285,0.371052,0.475786,9.13213,0,2.72428,2.72428,22.6231,22.6231,21016.8,21016.8,322.024676,52.28694,1.9810188258060677,2831.803454759642
4872,4873,1.60938,104.6404,1.1067,-18.8443,130.684,-2.2328,0.904567,0.563123,0.659502,8.7261,0,0.769017,0.769017,8.85215,8.85215,1604.16,1604.16,335.810201,58.612904,0.04996192321737597,2712.5378190348374
4822,4823,0.296875,103.0775,2.755371,5.97069,128.292,-3.25308,0.719098,0.547216,0.599379,8.76922,0,0.967148,0.967148,10.1179,10.1179,2490.8,2490.8,331.519206,59.097013,0.22012320286555828,2662.888492724266
4289,4290,0.796875,107.4692,0.706656,13.1624,127.568,-53.2113,0.593986,0.469727,0.507952,11.701,0,5.88527,5.88527,52.1769,52.1769,91712.2,91712.2,340.969854,59.692861,5.140517501662797,2647.855785479713
4263,4264,1.21875,106.2858,-0.303907,-2.79039,125.945,-56.8281,0.703145,0.502274,0.561878,11.9603,0,6.36179,6.36179,62.3897,62.3897,105802.0,105802.0,339.888299,58.239974,5.615512301356443,2614.178382954225
